"facturaId","productoId","cantidad"
"1","1","2"
"2","1","12"
"2","2","6"
"3","3","1"
"3","4","1"
"4","4","1"
"4","5","11"
"5","4","1"
"5","5","11"
"6","3","1"
"7","2","2"
"7","4","1"
"7","6","15"
"8","1","2"
"9","2","2"
"9","4","1"
"9","6","15"
"10","3","1"
"11","1","12"
"11","2","6"
"12","6","10"
"13","3","1"
"13","4","1"
"14","4","1"
"14","5","11"
"15","1","12"
"15","2","6"
"16","1","2"
"17","6","10"
"18","2","2"
"18","4","1"
"18","6","15"
"19","3","1"
"20","3","1"
"20","4","1"
"21","2","2"
"21","4","1"
"21","6","15"
"22","4","1"
"22","5","11"
"23","1","2"
"24","1","12"
"24","2","6"
"25","6","10"
"26","3","1"
"27","6","10"
"28","3","1"
"28","4","1"
"29","4","1"
"29","5","11"
"30","1","2"
"31","3","1"
"32","1","12"
"32","2","6"
"33","2","2"
"33","4","1"
"33","6","15"
"34","3","1"
"34","4","1"
"35","1","2"
"36","6","10"
"37","4","1"
"37","5","11"
"38","2","2"
"38","4","1"
"38","6","15"
"39","3","1"
"40","3","1"
"40","4","1"
"41","6","10"
"42","1","12"
"42","2","6"
"43","1","2"
"44","4","1"
"44","5","11"
"45","3","1"
"46","1","12"
"46","2","6"
"47","2","2"
"47","4","1"
"47","6","15"
"48","6","10"
"49","3","1"
"49","4","1"
"50","4","1"
"50","5","11"
"51","1","2"
"52","3","1"
"53","1","12"
"53","2","6"
"54","2","2"
"54","4","1"
"54","6","15"
"55","3","1"
"55","4","1"
"56","1","2"
"57","4","1"
"57","5","11"
"58","3","1"
"59","6","10"
"60","6","10"
"61","2","2"
"61","4","1"
"61","6","15"
"62","3","1"
"62","4","1"
"63","1","12"
"63","2","6"
"64","4","1"
"64","5","11"
"65","1","2"
"66","1","12"
"66","2","6"
"67","6","10"
"68","3","1"
"69","2","2"
"69","4","1"
"69","6","15"
"70","3","1"
"70","4","1"
"71","1","2"
"72","4","1"
"72","5","11"
"73","6","10"
"74","3","1"
"75","1","12"
"75","2","6"
"76","3","1"
"76","4","1"
"77","2","2"
"77","4","1"
"77","6","15"
"78","1","2"
"79","4","1"
"79","5","11"
"80","3","1"
"81","1","12"
"81","2","6"
"82","6","10"
"83","3","1"
"83","4","1"
"84","2","2"
"84","4","1"
"84","6","15"
"85","4","1"
"85","5","11"
"86","1","2"
"87","1","12"
"87","2","6"
"88","2","2"
"88","4","1"
"88","6","15"
"89","3","1"
"90","3","1"
"90","4","1"
"91","1","2"
"92","6","10"
"93","4","1"
"93","5","11"
"94","1","12"
"94","2","6"
"95","3","1"
"96","6","10"
"97","3","1"
"97","4","1"
"98","1","2"
"99","2","2"
"99","4","1"
"99","6","15"
"100","4","1"
"100","5","11"
"101","1","12"
"101","2","6"
"102","3","1"
"103","2","2"
"103","4","1"
"103","6","15"
"104","3","1"
"104","4","1"
"105","6","10"
"106","1","2"
"107","4","1"
"107","5","11"
"108","3","1"
"108","4","1"
"109","1","12"
"109","2","6"
"110","6","10"
"111","4","1"
"111","5","11"
"112","3","1"
"113","1","2"
"114","1","12"
"114","2","6"
"115","3","1"
"116","3","1"
"116","4","1"
"117","2","2"
"117","4","1"
"117","6","15"
"118","6","10"
"119","1","2"
"120","4","1"
"120","5","11"
"121","1","12"
"121","2","6"
"122","2","2"
"122","4","1"
"122","6","15"
"123","3","1"
"124","2","2"
"124","4","1"
"124","6","15"
"125","3","1"
"125","4","1"
"126","6","10"
"127","4","1"
"127","5","11"
"128","2","2"
"128","4","1"
"128","6","15"
"129","6","10"
"130","3","1"
"131","1","12"
"131","2","6"
"132","3","1"
"132","4","1"
"133","4","1"
"133","5","11"
"134","1","2"
"135","1","12"
"135","2","6"
"136","3","1"
"137","3","1"
"137","4","1"
"138","1","2"
"139","2","2"
"139","4","1"
"139","6","15"
"140","6","10"
"141","4","1"
"141","5","11"
"142","1","2"
"143","4","1"
"143","5","11"
"144","1","12"
"144","2","6"
"145","6","10"
"146","1","2"
"147","4","1"
"147","5","11"
"148","3","1"
"148","4","1"
"149","1","12"
"149","2","6"
"150","3","1"
"151","2","2"
"151","4","1"
"151","6","15"
"152","3","1"
"152","4","1"
"153","6","10"
"154","3","1"
"155","2","2"
"155","4","1"
"155","6","15"
"156","1","2"
"157","4","1"
"157","5","11"
"158","1","12"
"158","2","6"
"159","3","1"
"159","4","1"
"160","2","2"
"160","4","1"
"160","6","15"
"161","2","2"
"161","4","1"
"161","6","15"
"162","3","1"
"163","3","1"
"164","1","2"
"165","4","1"
"165","5","11"
"166","3","1"
"166","4","1"
"167","1","12"
"167","2","6"
"168","6","10"
"169","4","1"
"169","5","11"
"170","1","2"
"171","1","12"
"171","2","6"
"172","2","2"
"172","4","1"
"172","6","15"
"173","3","1"
"174","6","10"
"175","3","1"
"175","4","1"
"176","6","10"
"177","4","1"
"177","5","11"
"178","1","2"
"179","4","1"
"179","5","11"
"180","6","10"
"181","3","1"
"182","2","2"
"182","4","1"
"182","6","15"
"183","3","1"
"183","4","1"
"184","4","1"
"184","5","11"
"185","1","12"
"185","2","6"
"186","1","12"
"186","2","6"
"187","6","10"
"188","2","2"
"188","4","1"
"188","6","15"
"189","3","1"
"189","4","1"
"190","3","1"
"191","3","1"
"192","3","1"
"192","4","1"
"193","6","10"
"194","4","1"
"194","5","11"
"195","2","2"
"195","4","1"
"195","6","15"
"196","1","2"
"197","3","1"
"198","1","12"
"198","2","6"
"199","3","1"
"199","4","1"
"200","6","10"
"201","4","1"
"201","5","11"
"202","1","2"
"203","1","12"
"203","2","6"
"204","3","1"
"205","2","2"
"205","4","1"
"205","6","15"
"206","3","1"
"206","4","1"
"207","1","2"
"208","1","2"
"209","2","2"
"209","4","1"
"209","6","15"
"210","1","12"
"210","2","6"
"211","3","1"
"211","4","1"
"212","6","10"
"213","6","10"
"214","1","2"
"215","1","12"
"215","2","6"
"216","3","1"
"217","4","1"
"217","5","11"
"218","1","2"
"219","4","1"
"219","5","11"
"220","1","12"
"220","2","6"
"221","3","1"
"222","6","10"
"223","2","2"
"223","4","1"
"223","6","15"
"224","3","1"
"224","4","1"
"225","2","2"
"225","4","1"
"225","6","15"
"226","1","2"
"227","4","1"
"227","5","11"
"228","1","2"
"229","3","1"
"230","4","1"
"230","5","11"
"231","3","1"
"231","4","1"
"232","2","2"
"232","4","1"
"232","6","15"
"233","1","12"
"233","2","6"
"234","3","1"
"235","6","10"
"236","3","1"
"236","4","1"
"237","6","10"
"238","2","2"
"238","4","1"
"238","6","15"
"239","1","2"
"240","4","1"
"240","5","11"
"241","1","12"
"241","2","6"
"242","1","12"
"242","2","6"
"243","3","1"
"244","2","2"
"244","4","1"
"244","6","15"
"245","1","12"
"245","2","6"
"246","1","2"
"247","3","1"
"247","4","1"
"248","3","1"
"249","6","10"
"250","2","2"
"250","4","1"
"250","6","15"
"251","1","2"
"252","3","1"
"252","4","1"
"253","4","1"
"253","5","11"
"254","4","1"
"254","5","11"
"255","1","12"
"255","2","6"
"256","3","1"
"257","6","10"
"258","2","2"
"258","4","1"
"258","6","15"
"259","3","1"
"259","4","1"
"260","4","1"
"260","5","11"
"261","1","2"
"262","6","10"
"263","1","12"
"263","2","6"
"264","2","2"
"264","4","1"
"264","6","15"
"265","3","1"
"266","6","10"
"267","3","1"
"267","4","1"
"268","1","2"
"269","6","10"
"270","4","1"
"270","5","11"
"271","2","2"
"271","4","1"
"271","6","15"
"272","3","1"
"273","1","2"
"274","4","1"
"274","5","11"
"275","1","12"
"275","2","6"
"276","1","12"
"276","2","6"
"277","3","1"
"278","3","1"
"278","4","1"
"279","2","2"
"279","4","1"
"279","6","15"
"280","6","10"
"281","1","2"
"282","4","1"
"282","5","11"
"283","3","1"
"283","4","1"
"284","3","1"
"285","1","12"
"285","2","6"
"286","2","2"
"286","4","1"
"286","6","15"
"287","3","1"
"287","4","1"
"288","6","10"
"289","4","1"
"289","5","11"
"290","1","12"
"290","2","6"
"291","1","2"
"292","4","1"
"292","5","11"
"293","2","2"
"293","4","1"
"293","6","15"
"294","3","1"
"295","4","1"
"295","5","11"
"296","2","2"
"296","4","1"
"296","6","15"
"297","6","10"
"298","3","1"
"298","4","1"
"299","1","2"
"300","1","12"
"300","2","6"
"301","4","1"
"301","5","11"
"302","3","1"
"302","4","1"
"303","1","12"
"303","2","6"
"304","3","1"
"305","1","2"
"306","6","10"
"307","2","2"
"307","4","1"
"307","6","15"
"308","6","10"
"309","3","1"
"309","4","1"
"310","1","12"
"310","2","6"
"311","1","2"
"312","4","1"
"312","5","11"
"313","3","1"
"314","2","2"
"314","4","1"
"314","6","15"
"315","6","10"
"316","3","1"
"316","4","1"
"317","1","2"
"318","4","1"
"318","5","11"
"319","4","1"
"319","5","11"
"320","3","1"
"321","2","2"
"321","4","1"
"321","6","15"
"322","1","12"
"322","2","6"
"323","3","1"
"323","4","1"
"324","1","12"
"324","2","6"
"325","6","10"
"326","1","2"
"327","3","1"
"327","4","1"
"328","3","1"
"329","6","10"
"330","2","2"
"330","4","1"
"330","6","15"
"331","1","12"
"331","2","6"
"332","1","2"
"333","4","1"
"333","5","11"
"334","4","1"
"334","5","11"
"335","1","2"
"336","3","1"
"336","4","1"
"337","2","2"
"337","4","1"
"337","6","15"
"338","3","1"
"339","1","12"
"339","2","6"
"340","6","10"
"341","6","10"
"342","4","1"
"342","5","11"
"343","1","2"
"344","1","12"
"344","2","6"
"345","3","1"
"345","4","1"
"346","2","2"
"346","4","1"
"346","6","15"
"347","3","1"
"348","3","1"
"349","2","2"
"349","4","1"
"349","6","15"
"350","1","12"
"350","2","6"
"351","4","1"
"351","5","11"
"352","1","2"
"353","3","1"
"353","4","1"
"354","6","10"
"355","3","1"
"356","6","10"
"357","3","1"
"357","4","1"
"358","1","12"
"358","2","6"
"359","4","1"
"359","5","11"
"360","2","2"
"360","4","1"
"360","6","15"
"361","1","2"
"362","3","1"
"363","3","1"
"364","2","2"
"364","4","1"
"364","6","15"
"365","3","1"
"365","4","1"
"366","6","10"
"367","6","10"
"368","1","12"
"368","2","6"
"369","3","1"
"369","4","1"
"370","2","2"
"370","4","1"
"370","6","15"
"371","3","1"
"372","4","1"
"372","5","11"
"373","4","1"
"373","5","11"
"374","1","2"
"375","1","2"
"376","1","12"
"376","2","6"
"377","3","1"
"378","3","1"
"378","4","1"
"379","2","2"
"379","4","1"
"379","6","15"
"380","6","10"
"381","4","1"
"381","5","11"
"382","1","2"
"383","3","1"
"384","6","10"
"385","3","1"
"385","4","1"
"386","1","2"
"387","4","1"
"387","5","11"
"388","1","12"
"388","2","6"
"389","3","1"
"390","6","10"
"391","2","2"
"391","4","1"
"391","6","15"
"392","4","1"
"392","5","11"
"393","3","1"
"393","4","1"
"394","1","12"
"394","2","6"
"395","2","2"
"395","4","1"
"395","6","15"
"396","1","2"
"397","3","1"
"398","6","10"
"399","1","12"
"399","2","6"
"400","3","1"
"400","4","1"
"401","2","2"
"401","4","1"
"401","6","15"
"402","1","2"
"403","4","1"
"403","5","11"
"404","1","12"
"404","2","6"
"405","1","12"
"405","2","6"
"406","6","10"
"407","3","1"
"408","1","2"
"409","3","1"
"410","6","10"
"411","3","1"
"411","4","1"
"412","2","2"
"412","4","1"
"412","6","15"
"413","4","1"
"413","5","11"
"414","1","2"
"415","4","1"
"415","5","11"
"416","2","2"
"416","4","1"
"416","6","15"
"417","3","1"
"418","1","12"
"418","2","6"
"419","3","1"
"419","4","1"
"420","3","1"
"420","4","1"
"421","2","2"
"421","4","1"
"421","6","15"
"422","3","1"
"423","4","1"
"423","5","11"
"424","6","10"
"425","3","1"
"425","4","1"
"426","1","2"
"427","1","12"
"427","2","6"
"428","1","2"
"429","6","10"
"430","2","2"
"430","4","1"
"430","6","15"
"431","4","1"
"431","5","11"
"432","1","12"
"432","2","6"
"433","3","1"
"434","2","2"
"434","4","1"
"434","6","15"
"435","6","10"
"436","1","2"
"437","4","1"
"437","5","11"
"438","1","12"
"438","2","6"
"439","4","1"
"439","5","11"
"440","3","1"
"441","2","2"
"441","4","1"
"441","6","15"
"442","6","10"
"443","1","2"
"444","3","1"
"444","4","1"
"445","4","1"
"445","5","11"
"446","1","12"
"446","2","6"
"447","2","2"
"447","4","1"
"447","6","15"
"448","3","1"
"449","3","1"
"449","4","1"
"450","6","10"
"451","3","1"
"451","4","1"
"452","4","1"
"452","5","11"
"453","1","2"
"454","1","2"
"455","4","1"
"455","5","11"
"456","3","1"
"457","1","12"
"457","2","6"
"458","2","2"
"458","4","1"
"458","6","15"
"459","6","10"
"460","1","12"
"460","2","6"
"461","3","1"
"461","4","1"
"462","3","1"
"463","2","2"
"463","4","1"
"463","6","15"
"464","3","1"
"464","4","1"
"465","6","10"
"466","1","2"
"467","4","1"
"467","5","11"
"468","1","12"
"468","2","6"
"469","3","1"
"470","2","2"
"470","4","1"
"470","6","15"
"471","6","10"
"472","1","2"
"473","4","1"
"473","5","11"
"474","1","12"
"474","2","6"
"475","2","2"
"475","4","1"
"475","6","15"
"476","3","1"
"477","3","1"
"477","4","1"
"478","3","1"
"478","4","1"
"479","4","1"
"479","5","11"
"480","6","10"
"481","1","2"
"482","1","12"
"482","2","6"
"483","3","1"
"484","2","2"
"484","4","1"
"484","6","15"
"485","3","1"
"485","4","1"
"486","6","10"
"487","4","1"
"487","5","11"
"488","1","2"
"489","3","1"
"489","4","1"
"490","1","12"
"490","2","6"
"491","3","1"
"492","2","2"
"492","4","1"
"492","6","15"
"493","1","12"
"493","2","6"
"494","6","10"
"495","4","1"
"495","5","11"
"496","3","1"
"497","1","2"
"498","2","2"
"498","4","1"
"498","6","15"
"499","3","1"
"499","4","1"
"500","6","10"
"501","4","1"
"501","5","11"
"502","1","2"
"503","2","2"
"503","4","1"
"503","6","15"
"504","3","1"
"505","3","1"
"505","4","1"
"506","1","12"
"506","2","6"
"507","6","10"
"508","1","2"
"509","6","10"
"510","3","1"
"511","1","12"
"511","2","6"
"512","2","2"
"512","4","1"
"512","6","15"
"513","1","2"
"514","3","1"
"514","4","1"
"515","4","1"
"515","5","11"
"516","1","12"
"516","2","6"
"517","3","1"
"518","2","2"
"518","4","1"
"518","6","15"
"519","6","10"
"520","3","1"
"520","4","1"
"521","4","1"
"521","5","11"
"522","1","2"
"523","4","1"
"523","5","11"
"524","1","12"
"524","2","6"
"525","3","1"
"526","6","10"
"527","3","1"
"527","4","1"
"528","2","2"
"528","4","1"
"528","6","15"
"529","1","2"
"530","4","1"
"530","5","11"
"531","3","1"
"532","2","2"
"532","4","1"
"532","6","15"
"533","6","10"
"534","1","2"
"535","1","12"
"535","2","6"
"536","3","1"
"536","4","1"
"537","4","1"
"537","5","11"
"538","1","12"
"538","2","6"
"539","3","1"
"539","4","1"
"540","2","2"
"540","4","1"
"540","6","15"
"541","3","1"
"542","6","10"
"543","3","1"
"544","3","1"
"544","4","1"
"545","1","12"
"545","2","6"
"546","1","2"
"547","2","2"
"547","4","1"
"547","6","15"
"548","6","10"
"549","1","2"
"550","4","1"
"550","5","11"
"551","4","1"
"551","5","11"
"552","1","12"
"552","2","6"
"553","2","2"
"553","4","1"
"553","6","15"
"554","6","10"
"555","3","1"
"556","3","1"
"556","4","1"
"557","4","1"
"557","5","11"
"558","1","2"
"559","2","2"
"559","4","1"
"559","6","15"
"560","3","1"
"561","1","12"
"561","2","6"
"562","6","10"
"563","2","2"
"563","4","1"
"563","6","15"
"564","4","1"
"564","5","11"
"565","1","12"
"565","2","6"
"566","3","1"
"567","4","1"
"567","5","11"
"568","3","1"
"568","4","1"
"569","6","10"
"570","1","2"
"571","3","1"
"572","1","2"
"573","1","12"
"573","2","6"
"574","6","10"
"575","2","2"
"575","4","1"
"575","6","15"
"576","3","1"
"576","4","1"
"577","1","2"
"578","4","1"
"578","5","11"
"579","3","1"
"579","4","1"
"580","3","1"
"581","2","2"
"581","4","1"
"581","6","15"
"582","1","12"
"582","2","6"
"583","6","10"
"584","3","1"
"584","4","1"
"585","4","1"
"585","5","11"
"586","4","1"
"586","5","11"
"587","1","2"
"588","1","12"
"588","2","6"
"589","3","1"
"590","3","1"
"590","4","1"
"591","2","2"
"591","4","1"
"591","6","15"
"592","6","10"
"593","1","12"
"593","2","6"
"594","4","1"
"594","5","11"
"595","6","10"
"596","4","1"
"596","5","11"
"597","3","1"
"597","4","1"
"598","2","2"
"598","4","1"
"598","6","15"
"599","2","2"
"599","4","1"
"599","6","15"
"600","1","2"
"601","1","12"
"601","2","6"
"602","6","10"
"603","3","1"
"604","3","1"
"605","3","1"
"605","4","1"
"606","1","2"
"607","4","1"
"607","5","11"
"608","2","2"
"608","4","1"
"608","6","15"
"609","1","12"
"609","2","6"
"610","3","1"
"611","1","2"
"612","3","1"
"612","4","1"
"613","4","1"
"613","5","11"
"614","6","10"
"615","1","2"
"616","1","12"
"616","2","6"
"617","4","1"
"617","5","11"
"618","6","10"
"619","2","2"
"619","4","1"
"619","6","15"
"620","1","2"
"621","1","12"
"621","2","6"
"622","3","1"
"623","3","1"
"624","2","2"
"624","4","1"
"624","6","15"
"625","3","1"
"625","4","1"
"626","6","10"
"627","3","1"
"627","4","1"
"628","4","1"
"628","5","11"
"629","1","2"
"630","1","12"
"630","2","6"
"631","3","1"
"632","2","2"
"632","4","1"
"632","6","15"
"633","4","1"
"633","5","11"
"634","6","10"
"635","3","1"
"635","4","1"
"636","1","2"
"637","2","2"
"637","4","1"
"637","6","15"
"638","3","1"
"639","6","10"
"640","3","1"
"640","4","1"
"641","4","1"
"641","5","11"
"642","1","2"
"643","1","12"
"643","2","6"
"644","1","12"
"644","2","6"
"645","2","2"
"645","4","1"
"645","6","15"
"646","6","10"
"647","1","2"
"648","3","1"
"648","4","1"
"649","3","1"
"650","4","1"
